[2016-12-15 10:05:00.130] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 40, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:00.425] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 60, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:00.724] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 80, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:01.030] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 100, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:01.331] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 120, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:01.635] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 140, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:01.935] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 160, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:02.239] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 180, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:02.538] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 200, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:02.837] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 220, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:03.135] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 240, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:03.440] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 260, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:03.737] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 280, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:04.040] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 300, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:04.342] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 320, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:05.848] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 340, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:06.655] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 360, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:07.884] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 380, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:08.751] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 400, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:09.734] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 420, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:10.822] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 440, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:11.820] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 460, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:12.820] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 480, limit: "20" }. 'limit' field must be numeric.
